sequence	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape
OTU82	-0.022276394711152253	0.4065401804339551	-0.3565473235138126	37	37	7	4535908	42.7	4407	5	70	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU83	-0.3010299956639812	0.11394335230683678	0.3979400086720376	37	37	7.5	2890610	39.094	3057.571	4	56	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
OTU84	-0.22184874961635637	-0.22184874961635637	-0.15428198203334137	37	36.3	6.778	1633292	40.05	1928.25	3.667	55.333	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
OTU85	-0.3010299956639812	0.25527250510330607	1.021189299069938	23	30	7.6	3453670	44.9	3884	6	68	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU86	-0.3979400086720376	0.11394335230683678	0.809761665107125	37	34.75	7	3306764.5	50.1	2641	5	54	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU87	-0.22184874961635637	0.20411998265592482	0.6989700043360189	37	37	6.75	3520755	28.24	3692.926	11.333	88.612	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU88	-0.3010299956639812	0.17609125905568124	0.25527250510330607	37	40	6.6	3713113	41.675	3155	5	65	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
OTU89	-0.09691001300805639	0.2304489213782739	0.6794278966121189	37	42	6	2809383	59.223	3179.333	2	54	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
OTU90	-1.0	-0.22184874961635637	0.809761665107125	37	37	7	3763317	55.82	2563	2	48	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
OTU91	-0.3010299956639812	0.0	0.25527250510330607	37	37	6.6	2944299.667	42.55	2798	5	65	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
OTU92	-0.3979400086720376	0.47712125471966244	1.021189299069938	37	40	5.35	3108859	39.66	1684	5	72	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
OTU93	-0.3010299956639812	0.3979400086720376	0.3979400086720376	60	60	7.5	3612160.529	39.094	3057.571	4	56	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0
OTU94	-0.3010299956639812	0.0	1.021189299069938	37	39	7.6	3460903.4	42.833	5937	5	72	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
OTU95	-0.3979400086720376	0.47712125471966244	1.021189299069938	37	40	7.6	3453670	50.1	1684	4	55	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0
OTU96	0.3010299956639812	0.3010299956639812	1.5563025007672873	37	37	7	1765374	45.43	2223.5	7	64.333	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0
OTU97	-0.12493873660829993	-0.12493873660829993	-0.3565473235138126	36.5	37	9.6	3026076	37.828	2562	6	68.25	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0
OTU98	-0.1549019599857432	-0.09691001300805639	0.0	37	37	4.85	3102087	43.1	2320.5	4	53	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU99	-0.1549019599857432	-0.09691001300805639	0.0	37	37	4.85	3102087	43.1	2320.5	4	53	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU100	-0.3010299956639812	0.2787536009528289	1.184123354239671	37	38.5	7	3522704.5	27.649	3064.5	10	79.333	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
